S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state,constituency,value
99,KESINENI SIVANATH (CHINNI),Telugu Desam,784722,9432,794154,58.21,Andhra Pradesh,Vijayawada - 12,S0112
100,SRIBHARAT MATHUKUMILI,Telugu Desam,893884,13583,907467,65.42,Andhra Pradesh,Visakhapatnam - 4,S014
101,APPALANAIDU KALISETTI,Telugu Desam,729284,13829,743113,57.2,Andhra Pradesh,Vizianagaram - 3,S013
102,TAPIR GAO,Bharatiya Janata Party,140715,4866,145581,45.01,Arunachal Pradesh,Arunachal East - 2,S022
103,KIREN RIJIJU,Bharatiya Janata Party,196415,9002,205417,51.38,Arunachal Pradesh,Arunachal West - 1,S021
104,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,853642,6471,860113,51.02,Assam,Barpeta - 3,S033
105,DILIP SAIKIA,Bharatiya Janata Party,864583,3804,868387,47.95,Assam,Darrang-Udalguri - 4,S034
106,RAKIBUL HUSSAIN,Indian National Congress,1468549,3336,1471885,59.99,Assam,Dhubri  - 2,S032
107,SARBANANDA SONOWAL,Bharatiya Janata Party,691153,2609,693762,54.27,Assam,Dibrugarh - 13,S0313
108,AMARSING TISSO,Bharatiya Janata Party,332440,2180,334620,49.01,Assam,Diphu - 6,S036
109,BIJULI KALITA  MEDHI,Bharatiya Janata Party,891901,2986,894887,55.95,Assam,Guwahati - 5,S035
110,GAURAV GOGOI,Indian National Congress,743194,8577,751771,54.04,Assam,Jorhat - 14,S0314
111,KRIPANATH MALLAH,Bharatiya Janata Party,541220,3873,545093,47.53,Assam,Karimganj - 7,S037
112,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,892766,4277,897043,55.04,Assam,Kaziranga - 10,S0310
113,JOYANTA BASUMATARY,"United People’s Party, Liberal",484681,4314,488995,39.39,Assam,Kokrajhar  - 1,S031
114,PRADAN BARUAH,Bharatiya Janata Party,659307,3815,663122,54.75,Assam,Lakhimpur - 12,S0312
115,PRADYUT BORDOLOI,Indian National Congress,786620,2230,788850,50.89,Assam,Nagaon - 9,S039
116,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,647572,4833,652405,59.89,Assam,Silchar  - 8,S038
117,RANJIT DUTTA,Bharatiya Janata Party,771018,4770,775788,60.21,Assam,Sonitpur - 11,S0311
118,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,853642,6471,860113,51.02,Assam,Barpeta - 3,S033
119,DILIP SAIKIA,Bharatiya Janata Party,864583,3804,868387,47.95,Assam,Darrang-Udalguri - 4,S034
120,RAKIBUL HUSSAIN,Indian National Congress,1468549,3336,1471885,59.99,Assam,Dhubri  - 2,S032
121,SARBANANDA SONOWAL,Bharatiya Janata Party,691153,2609,693762,54.27,Assam,Dibrugarh - 13,S0313
122,AMARSING TISSO,Bharatiya Janata Party,332440,2180,334620,49.01,Assam,Diphu - 6,S036
123,BIJULI KALITA  MEDHI,Bharatiya Janata Party,891901,2986,894887,55.95,Assam,Guwahati - 5,S035
124,GAURAV GOGOI,Indian National Congress,743194,8577,751771,54.04,Assam,Jorhat - 14,S0314
125,KRIPANATH MALLAH,Bharatiya Janata Party,541220,3873,545093,47.53,Assam,Karimganj - 7,S037
126,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,892766,4277,897043,55.04,Assam,Kaziranga - 10,S0310
127,JOYANTA BASUMATARY,"United People’s Party, Liberal",484681,4314,488995,39.39,Assam,Kokrajhar  - 1,S031
128,PRADAN BARUAH,Bharatiya Janata Party,659307,3815,663122,54.75,Assam,Lakhimpur - 12,S0312
129,PRADYUT BORDOLOI,Indian National Congress,786620,2230,788850,50.89,Assam,Nagaon - 9,S039
130,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,647572,4833,652405,59.89,Assam,Silchar  - 8,S038
131,RANJIT DUTTA,Bharatiya Janata Party,771018,4770,775788,60.21,Assam,Sonitpur - 11,S0311
132,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,853642,6471,860113,51.02,Assam,Barpeta - 3,S033
133,DILIP SAIKIA,Bharatiya Janata Party,864583,3804,868387,47.95,Assam,Darrang-Udalguri - 4,S034
134,RAKIBUL HUSSAIN,Indian National Congress,1468549,3336,1471885,59.99,Assam,Dhubri  - 2,S032
135,SARBANANDA SONOWAL,Bharatiya Janata Party,691153,2609,693762,54.27,Assam,Dibrugarh - 13,S0313
136,AMARSING TISSO,Bharatiya Janata Party,332440,2180,334620,49.01,Assam,Diphu - 6,S036
137,BIJULI KALITA  MEDHI,Bharatiya Janata Party,891901,2986,894887,55.95,Assam,Guwahati - 5,S035
138,GAURAV GOGOI,Indian National Congress,743194,8577,751771,54.04,Assam,Jorhat - 14,S0314
139,KRIPANATH MALLAH,Bharatiya Janata Party,541220,3873,545093,47.53,Assam,Karimganj - 7,S037
