S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state,constituency,value
666,RAMESH JIGAJINAGI,Bharatiya Janata Party,669055,3726,672781,51.91,Karnataka,Bijapur - 4,S104
667,SUNIL BOSE,Indian National Congress,749926,1745,751671,54.87,Karnataka,Chamarajanagar - 22,S1022
668,DR.K.SUDHAKAR,Bharatiya Janata Party,819588,3031,822619,53.74,Karnataka,Chikkballapur - 27,S1027
669,PRIYANKA SATISH JARKIHOLI,Indian National Congress,710823,2638,713461,51.21,Karnataka,Chikkodi - 1,S101
670,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,681217,3673,684890,50.11,Karnataka,Chitradurga - 18,S1018
671,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,760130,4002,764132,53.97,Karnataka,Dakshina Kannada - 17,S1017
672,DR. PRABHA MALLIKARJUN,Indian National Congress,631453,1606,633059,47.95,Karnataka,Davanagere - 13,S1013
673,PRALHAD JOSHI,Bharatiya Janata Party,713649,2582,716231,52.41,Karnataka,Dharwad - 11,S1011
674,RADHAKRISHNA,Indian National Congress,650623,1698,652321,49.78,Karnataka,Gulbarga - 5,S105
675,SHREYAS. M. PATEL,Indian National Congress,670274,2714,672988,49.67,Karnataka,Hassan - 16,S1016
676,BASAVARAJ BOMMAI,Bharatiya Janata Party,702189,3349,705538,50.55,Karnataka,Haveri - 10,S1010
677,M. MALLESH BABU,Janata Dal  (Secular),689185,2296,691481,51.02,Karnataka,Kolar - 28,S1028
678,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,661921,1590,663511,49.93,Karnataka,Koppal - 8,S108
679,H.D. KUMARASWAMY,Janata Dal  (Secular),847482,4399,851881,58.34,Karnataka,Mandya - 20,S1020
680,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,790391,5112,795503,53.59,Karnataka,Mysore - 21,S1021
681,G. KUMAR NAIK.,Indian National Congress,669413,1553,670966,51.63,Karnataka,Raichur - 6,S106
682,B.Y.RAGHAVENDRA,Bharatiya Janata Party,775731,2990,778721,56.54,Karnataka,Shimoga - 14,S1014
683,V. SOMANNA,Bharatiya Janata Party,716709,4237,720946,55.31,Karnataka,Tumkur - 19,S1019
684,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,728219,4015,732234,59.56,Karnataka,Udupi Chikmagalur - 15,S1015
685,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,777887,4608,782495,61.97,Karnataka,Uttara Kannada - 12,S1012
686,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,667441,3598,671039,50.93,Karnataka,Bagalkot - 3,S103
687,P C MOHAN,Bharatiya Janata Party,657236,1679,658915,50.05,Karnataka,Bangalore central - 25,S1025
688,SHOBHA KARANDLAJE,Bharatiya Janata Party,982805,3244,986049,56.27,Karnataka,Bangalore North - 24,S1024
689,DR C N MANJUNATH,Bharatiya Janata Party,1075553,3449,1079002,56.21,Karnataka,Bangalore Rural - 23,S1023
690,TEJASVI SURYA,Bharatiya Janata Party,747780,3050,750830,60.1,Karnataka,Bangalore South - 26,S1026
691,JAGADISH SHETTAR,Bharatiya Janata Party,756471,5558,762029,55.06,Karnataka,Belgaum - 2,S102
692,E. TUKARAM,Indian National Congress,729581,1264,730845,52.58,Karnataka,Bellary - 9,S109
693,SAGAR ESHWAR KHANDRE,Indian National Congress,665162,1155,666317,53.63,Karnataka,Bidar - 7,S107
694,RAMESH JIGAJINAGI,Bharatiya Janata Party,669055,3726,672781,51.91,Karnataka,Bijapur - 4,S104
695,SUNIL BOSE,Indian National Congress,749926,1745,751671,54.87,Karnataka,Chamarajanagar - 22,S1022
696,DR.K.SUDHAKAR,Bharatiya Janata Party,819588,3031,822619,53.74,Karnataka,Chikkballapur - 27,S1027
697,PRIYANKA SATISH JARKIHOLI,Indian National Congress,710823,2638,713461,51.21,Karnataka,Chikkodi - 1,S101
698,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,681217,3673,684890,50.11,Karnataka,Chitradurga - 18,S1018
699,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,760130,4002,764132,53.97,Karnataka,Dakshina Kannada - 17,S1017
700,DR. PRABHA MALLIKARJUN,Indian National Congress,631453,1606,633059,47.95,Karnataka,Davanagere - 13,S1013
701,PRALHAD JOSHI,Bharatiya Janata Party,713649,2582,716231,52.41,Karnataka,Dharwad - 11,S1011
702,RADHAKRISHNA,Indian National Congress,650623,1698,652321,49.78,Karnataka,Gulbarga - 5,S105
703,SHREYAS. M. PATEL,Indian National Congress,670274,2714,672988,49.67,Karnataka,Hassan - 16,S1016
704,BASAVARAJ BOMMAI,Bharatiya Janata Party,702189,3349,705538,50.55,Karnataka,Haveri - 10,S1010
705,M. MALLESH BABU,Janata Dal  (Secular),689185,2296,691481,51.02,Karnataka,Kolar - 28,S1028
706,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,661921,1590,663511,49.93,Karnataka,Koppal - 8,S108
707,H.D. KUMARASWAMY,Janata Dal  (Secular),847482,4399,851881,58.34,Karnataka,Mandya - 20,S1020
708,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,790391,5112,795503,53.59,Karnataka,Mysore - 21,S1021
709,G. KUMAR NAIK.,Indian National Congress,669413,1553,670966,51.63,Karnataka,Raichur - 6,S106
710,B.Y.RAGHAVENDRA,Bharatiya Janata Party,775731,2990,778721,56.54,Karnataka,Shimoga - 14,S1014
711,V. SOMANNA,Bharatiya Janata Party,716709,4237,720946,55.31,Karnataka,Tumkur - 19,S1019
712,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,728219,4015,732234,59.56,Karnataka,Udupi Chikmagalur - 15,S1015
713,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,777887,4608,782495,61.97,Karnataka,Uttara Kannada - 12,S1012
714,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,667441,3598,671039,50.93,Karnataka,Bagalkot - 3,S103
715,P C MOHAN,Bharatiya Janata Party,657236,1679,658915,50.05,Karnataka,Bangalore central - 25,S1025
716,SHOBHA KARANDLAJE,Bharatiya Janata Party,982805,3244,986049,56.27,Karnataka,Bangalore North - 24,S1024
717,DR C N MANJUNATH,Bharatiya Janata Party,1075553,3449,1079002,56.21,Karnataka,Bangalore Rural - 23,S1023
718,TEJASVI SURYA,Bharatiya Janata Party,747780,3050,750830,60.1,Karnataka,Bangalore South - 26,S1026
719,JAGADISH SHETTAR,Bharatiya Janata Party,756471,5558,762029,55.06,Karnataka,Belgaum - 2,S102
720,E. TUKARAM,Indian National Congress,729581,1264,730845,52.58,Karnataka,Bellary - 9,S109
721,SAGAR ESHWAR KHANDRE,Indian National Congress,665162,1155,666317,53.63,Karnataka,Bidar - 7,S107
722,RAMESH JIGAJINAGI,Bharatiya Janata Party,669055,3726,672781,51.91,Karnataka,Bijapur - 4,S104
723,SUNIL BOSE,Indian National Congress,749926,1745,751671,54.87,Karnataka,Chamarajanagar - 22,S1022
724,DR.K.SUDHAKAR,Bharatiya Janata Party,819588,3031,822619,53.74,Karnataka,Chikkballapur - 27,S1027
725,PRIYANKA SATISH JARKIHOLI,Indian National Congress,710823,2638,713461,51.21,Karnataka,Chikkodi - 1,S101
726,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,681217,3673,684890,50.11,Karnataka,Chitradurga - 18,S1018
727,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,760130,4002,764132,53.97,Karnataka,Dakshina Kannada - 17,S1017
728,DR. PRABHA MALLIKARJUN,Indian National Congress,631453,1606,633059,47.95,Karnataka,Davanagere - 13,S1013
729,PRALHAD JOSHI,Bharatiya Janata Party,713649,2582,716231,52.41,Karnataka,Dharwad - 11,S1011
730,RADHAKRISHNA,Indian National Congress,650623,1698,652321,49.78,Karnataka,Gulbarga - 5,S105
731,SHREYAS. M. PATEL,Indian National Congress,670274,2714,672988,49.67,Karnataka,Hassan - 16,S1016
732,BASAVARAJ BOMMAI,Bharatiya Janata Party,702189,3349,705538,50.55,Karnataka,Haveri - 10,S1010
733,M. MALLESH BABU,Janata Dal  (Secular),689185,2296,691481,51.02,Karnataka,Kolar - 28,S1028
734,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,661921,1590,663511,49.93,Karnataka,Koppal - 8,S108
735,H.D. KUMARASWAMY,Janata Dal  (Secular),847482,4399,851881,58.34,Karnataka,Mandya - 20,S1020
736,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,790391,5112,795503,53.59,Karnataka,Mysore - 21,S1021
737,G. KUMAR NAIK.,Indian National Congress,669413,1553,670966,51.63,Karnataka,Raichur - 6,S106
738,B.Y.RAGHAVENDRA,Bharatiya Janata Party,775731,2990,778721,56.54,Karnataka,Shimoga - 14,S1014
739,V. SOMANNA,Bharatiya Janata Party,716709,4237,720946,55.31,Karnataka,Tumkur - 19,S1019
740,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,728219,4015,732234,59.56,Karnataka,Udupi Chikmagalur - 15,S1015
741,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,777887,4608,782495,61.97,Karnataka,Uttara Kannada - 12,S1012
742,K. C VENUGOPAL,Indian National Congress,398246,6314,404560,38.21,Kerala,Alappuzha - 15,S1115
743,K.RADHAKRISHNAN,Communist Party of India  (Marxist),398818,4629,403447,40.66,Kerala,Alathur  - 9,S119
744,ADV ADOOR PRAKASH,Indian National Congress,323273,4778,328051,33.29,Kerala,Attingal - 19,S1119
745,BENNY BEHANAN,Indian National Congress,390216,3955,394171,41.44,Kerala,Chalakudy - 11,S1111
746,HIBI EDEN,Indian National Congress,478989,3328,482317,52.97,Kerala,Ernakulam - 12,S1112
747,ADV. DEAN KURIAKOSE,Indian National Congress,427129,5243,432372,51.43,Kerala,Idukki - 13,S1113
748,K. SUDHAKARAN,Indian National Congress,512266,6258,518524,48.74,Kerala,Kannur - 2,S112
749,RAJMOHAN UNNITHAN,Indian National Congress,487637,3022,490659,44.1,Kerala,Kasaragod - 1,S111
750,N K PREMACHANDRAN,Revolutionary Socialist Party,437516,6112,443628,48.45,Kerala,Kollam - 18,S1118
751,ADV K FRANCIS GEORGE,Kerala Congress,358369,6262,364631,43.6,Kerala,Kottayam - 14,S1114
752,M. K. RAGHAVAN,Indian National Congress,515608,4813,520421,47.74,Kerala,Kozhikode - 5,S115
753,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,640269,3737,644006,59.35,Kerala,Malappuram - 6,S116
754,KODIKUNNIL SURESH,Indian National Congress,362209,7307,369516,41.29,Kerala,Mavelikkara  - 16,S1116
755,V K SREEKANDAN,Indian National Congress,418072,3097,421169,40.66,Kerala,Palakkad - 8,S118
756,ANTO ANTONY,Indian National Congress,360957,6666,367623,39.98,Kerala,Pathanamthitta - 17,S1117
757,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,559570,2946,562516,54.81,Kerala,Ponnani - 7,S117
758,SHASHI THAROOR,Indian National Congress,353679,4476,358155,37.19,Kerala,Thiruvananthapuram - 20,S1120
759,SURESH GOPI,Bharatiya Janata Party,409302,3036,412338,37.8,Kerala,Thrissur - 10,S1110
760,SHAFI PARAMBIL,Indian National Congress,552490,5038,557528,49.65,Kerala,Vadakara - 3,S113
761,RAHUL GANDHI,Indian National Congress,642299,5146,647445,59.69,Kerala,Wayanad - 4,S114
762,K. C VENUGOPAL,Indian National Congress,398246,6314,404560,38.21,Kerala,Alappuzha - 15,S1115
763,K.RADHAKRISHNAN,Communist Party of India  (Marxist),398818,4629,403447,40.66,Kerala,Alathur  - 9,S119
764,ADV ADOOR PRAKASH,Indian National Congress,323273,4778,328051,33.29,Kerala,Attingal - 19,S1119
765,BENNY BEHANAN,Indian National Congress,390216,3955,394171,41.44,Kerala,Chalakudy - 11,S1111
766,HIBI EDEN,Indian National Congress,478989,3328,482317,52.97,Kerala,Ernakulam - 12,S1112
767,ADV. DEAN KURIAKOSE,Indian National Congress,427129,5243,432372,51.43,Kerala,Idukki - 13,S1113
768,K. SUDHAKARAN,Indian National Congress,512266,6258,518524,48.74,Kerala,Kannur - 2,S112
769,RAJMOHAN UNNITHAN,Indian National Congress,487637,3022,490659,44.1,Kerala,Kasaragod - 1,S111
770,N K PREMACHANDRAN,Revolutionary Socialist Party,437516,6112,443628,48.45,Kerala,Kollam - 18,S1118
771,ADV K FRANCIS GEORGE,Kerala Congress,358369,6262,364631,43.6,Kerala,Kottayam - 14,S1114
772,M. K. RAGHAVAN,Indian National Congress,515608,4813,520421,47.74,Kerala,Kozhikode - 5,S115
773,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,640269,3737,644006,59.35,Kerala,Malappuram - 6,S116
774,KODIKUNNIL SURESH,Indian National Congress,362209,7307,369516,41.29,Kerala,Mavelikkara  - 16,S1116
775,V K SREEKANDAN,Indian National Congress,418072,3097,421169,40.66,Kerala,Palakkad - 8,S118
776,ANTO ANTONY,Indian National Congress,360957,6666,367623,39.98,Kerala,Pathanamthitta - 17,S1117
777,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,559570,2946,562516,54.81,Kerala,Ponnani - 7,S117
778,SHASHI THAROOR,Indian National Congress,353679,4476,358155,37.19,Kerala,Thiruvananthapuram - 20,S1120
779,SURESH GOPI,Bharatiya Janata Party,409302,3036,412338,37.8,Kerala,Thrissur - 10,S1110
780,SHAFI PARAMBIL,Indian National Congress,552490,5038,557528,49.65,Kerala,Vadakara - 3,S113
781,RAHUL GANDHI,Indian National Congress,642299,5146,647445,59.69,Kerala,Wayanad - 4,S114
782,K. C VENUGOPAL,Indian National Congress,398246,6314,404560,38.21,Kerala,Alappuzha - 15,S1115
783,K.RADHAKRISHNAN,Communist Party of India  (Marxist),398818,4629,403447,40.66,Kerala,Alathur  - 9,S119
784,ADV ADOOR PRAKASH,Indian National Congress,323273,4778,328051,33.29,Kerala,Attingal - 19,S1119
785,BENNY BEHANAN,Indian National Congress,390216,3955,394171,41.44,Kerala,Chalakudy - 11,S1111
786,HIBI EDEN,Indian National Congress,478989,3328,482317,52.97,Kerala,Ernakulam - 12,S1112
787,ADV. DEAN KURIAKOSE,Indian National Congress,427129,5243,432372,51.43,Kerala,Idukki - 13,S1113
788,K. SUDHAKARAN,Indian National Congress,512266,6258,518524,48.74,Kerala,Kannur - 2,S112
789,RAJMOHAN UNNITHAN,Indian National Congress,487637,3022,490659,44.1,Kerala,Kasaragod - 1,S111
790,N K PREMACHANDRAN,Revolutionary Socialist Party,437516,6112,443628,48.45,Kerala,Kollam - 18,S1118
791,ADV K FRANCIS GEORGE,Kerala Congress,358369,6262,364631,43.6,Kerala,Kottayam - 14,S1114
792,M. K. RAGHAVAN,Indian National Congress,515608,4813,520421,47.74,Kerala,Kozhikode - 5,S115
793,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,640269,3737,644006,59.35,Kerala,Malappuram - 6,S116
794,KODIKUNNIL SURESH,Indian National Congress,362209,7307,369516,41.29,Kerala,Mavelikkara  - 16,S1116
795,V K SREEKANDAN,Indian National Congress,418072,3097,421169,40.66,Kerala,Palakkad - 8,S118
796,ANTO ANTONY,Indian National Congress,360957,6666,367623,39.98,Kerala,Pathanamthitta - 17,S1117
797,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,559570,2946,562516,54.81,Kerala,Ponnani - 7,S117
798,SHASHI THAROOR,Indian National Congress,353679,4476,358155,37.19,Kerala,Thiruvananthapuram - 20,S1120
799,SURESH GOPI,Bharatiya Janata Party,409302,3036,412338,37.8,Kerala,Thrissur - 10,S1110
800,SHAFI PARAMBIL,Indian National Congress,552490,5038,557528,49.65,Kerala,Vadakara - 3,S113
801,RAHUL GANDHI,Indian National Congress,642299,5146,647445,59.69,Kerala,Wayanad - 4,S114
802,K. C VENUGOPAL,Indian National Congress,398246,6314,404560,38.21,Kerala,Alappuzha - 15,S1115
803,K.RADHAKRISHNAN,Communist Party of India  (Marxist),398818,4629,403447,40.66,Kerala,Alathur  - 9,S119
804,ADV ADOOR PRAKASH,Indian National Congress,323273,4778,328051,33.29,Kerala,Attingal - 19,S1119
805,BENNY BEHANAN,Indian National Congress,390216,3955,394171,41.44,Kerala,Chalakudy - 11,S1111
806,HIBI EDEN,Indian National Congress,478989,3328,482317,52.97,Kerala,Ernakulam - 12,S1112
807,ADV. DEAN KURIAKOSE,Indian National Congress,427129,5243,432372,51.43,Kerala,Idukki - 13,S1113
808,K. SUDHAKARAN,Indian National Congress,512266,6258,518524,48.74,Kerala,Kannur - 2,S112
809,RAJMOHAN UNNITHAN,Indian National Congress,487637,3022,490659,44.1,Kerala,Kasaragod - 1,S111
810,N K PREMACHANDRAN,Revolutionary Socialist Party,437516,6112,443628,48.45,Kerala,Kollam - 18,S1118
811,ADV K FRANCIS GEORGE,Kerala Congress,358369,6262,364631,43.6,Kerala,Kottayam - 14,S1114
812,M. K. RAGHAVAN,Indian National Congress,515608,4813,520421,47.74,Kerala,Kozhikode - 5,S115
813,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,640269,3737,644006,59.35,Kerala,Malappuram - 6,S116
814,KODIKUNNIL SURESH,Indian National Congress,362209,7307,369516,41.29,Kerala,Mavelikkara  - 16,S1116
815,V K SREEKANDAN,Indian National Congress,418072,3097,421169,40.66,Kerala,Palakkad - 8,S118
816,ANTO ANTONY,Indian National Congress,360957,6666,367623,39.98,Kerala,Pathanamthitta - 17,S1117
817,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,559570,2946,562516,54.81,Kerala,Ponnani - 7,S117
818,SHASHI THAROOR,Indian National Congress,353679,4476,358155,37.19,Kerala,Thiruvananthapuram - 20,S1120
819,SURESH GOPI,Bharatiya Janata Party,409302,3036,412338,37.8,Kerala,Thrissur - 10,S1110
820,SHAFI PARAMBIL,Indian National Congress,552490,5038,557528,49.65,Kerala,Vadakara - 3,S113
821,RAHUL GANDHI,Indian National Congress,642299,5146,647445,59.69,Kerala,Wayanad - 4,S114
822,K. C VENUGOPAL,Indian National Congress,398246,6314,404560,38.21,Kerala,Alappuzha - 15,S1115
823,K.RADHAKRISHNAN,Communist Party of India  (Marxist),398818,4629,403447,40.66,Kerala,Alathur  - 9,S119
824,ADV ADOOR PRAKASH,Indian National Congress,323273,4778,328051,33.29,Kerala,Attingal - 19,S1119
825,BENNY BEHANAN,Indian National Congress,390216,3955,394171,41.44,Kerala,Chalakudy - 11,S1111
826,HIBI EDEN,Indian National Congress,478989,3328,482317,52.97,Kerala,Ernakulam - 12,S1112
827,ADV. DEAN KURIAKOSE,Indian National Congress,427129,5243,432372,51.43,Kerala,Idukki - 13,S1113
828,K. SUDHAKARAN,Indian National Congress,512266,6258,518524,48.74,Kerala,Kannur - 2,S112
829,RAJMOHAN UNNITHAN,Indian National Congress,487637,3022,490659,44.1,Kerala,Kasaragod - 1,S111
830,N K PREMACHANDRAN,Revolutionary Socialist Party,437516,6112,443628,48.45,Kerala,Kollam - 18,S1118
831,ADV K FRANCIS GEORGE,Kerala Congress,358369,6262,364631,43.6,Kerala,Kottayam - 14,S1114
832,M. K. RAGHAVAN,Indian National Congress,515608,4813,520421,47.74,Kerala,Kozhikode - 5,S115
833,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,640269,3737,644006,59.35,Kerala,Malappuram - 6,S116
834,KODIKUNNIL SURESH,Indian National Congress,362209,7307,369516,41.29,Kerala,Mavelikkara  - 16,S1116
835,V K SREEKANDAN,Indian National Congress,418072,3097,421169,40.66,Kerala,Palakkad - 8,S118
836,ANTO ANTONY,Indian National Congress,360957,6666,367623,39.98,Kerala,Pathanamthitta - 17,S1117
837,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,559570,2946,562516,54.81,Kerala,Ponnani - 7,S117
838,SHASHI THAROOR,Indian National Congress,353679,4476,358155,37.19,Kerala,Thiruvananthapuram - 20,S1120
839,SURESH GOPI,Bharatiya Janata Party,409302,3036,412338,37.8,Kerala,Thrissur - 10,S1110
840,SHAFI PARAMBIL,Indian National Congress,552490,5038,557528,49.65,Kerala,Vadakara - 3,S113
841,RAHUL GANDHI,Indian National Congress,642299,5146,647445,59.69,Kerala,Wayanad - 4,S114
842,K. C VENUGOPAL,Indian National Congress,398246,6314,404560,38.21,Kerala,Alappuzha - 15,S1115
843,K.RADHAKRISHNAN,Communist Party of India  (Marxist),398818,4629,403447,40.66,Kerala,Alathur  - 9,S119
844,ADV ADOOR PRAKASH,Indian National Congress,323273,4778,328051,33.29,Kerala,Attingal - 19,S1119
845,BENNY BEHANAN,Indian National Congress,390216,3955,394171,41.44,Kerala,Chalakudy - 11,S1111
846,HIBI EDEN,Indian National Congress,478989,3328,482317,52.97,Kerala,Ernakulam - 12,S1112
847,ADV. DEAN KURIAKOSE,Indian National Congress,427129,5243,432372,51.43,Kerala,Idukki - 13,S1113
848,K. SUDHAKARAN,Indian National Congress,512266,6258,518524,48.74,Kerala,Kannur - 2,S112
849,RAJMOHAN UNNITHAN,Indian National Congress,487637,3022,490659,44.1,Kerala,Kasaragod - 1,S111
850,N K PREMACHANDRAN,Revolutionary Socialist Party,437516,6112,443628,48.45,Kerala,Kollam - 18,S1118
851,ADV K FRANCIS GEORGE,Kerala Congress,358369,6262,364631,43.6,Kerala,Kottayam - 14,S1114
852,M. K. RAGHAVAN,Indian National Congress,515608,4813,520421,47.74,Kerala,Kozhikode - 5,S115
853,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,640269,3737,644006,59.35,Kerala,Malappuram - 6,S116
854,KODIKUNNIL SURESH,Indian National Congress,362209,7307,369516,41.29,Kerala,Mavelikkara  - 16,S1116
855,V K SREEKANDAN,Indian National Congress,418072,3097,421169,40.66,Kerala,Palakkad - 8,S118
856,ANTO ANTONY,Indian National Congress,360957,6666,367623,39.98,Kerala,Pathanamthitta - 17,S1117
857,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,559570,2946,562516,54.81,Kerala,Ponnani - 7,S117
858,SHASHI THAROOR,Indian National Congress,353679,4476,358155,37.19,Kerala,Thiruvananthapuram - 20,S1120
859,SURESH GOPI,Bharatiya Janata Party,409302,3036,412338,37.8,Kerala,Thrissur - 10,S1110
860,SHAFI PARAMBIL,Indian National Congress,552490,5038,557528,49.65,Kerala,Vadakara - 3,S113
861,RAHUL GANDHI,Indian National Congress,642299,5146,647445,59.69,Kerala,Wayanad - 4,S114
862,MOHMAD HANEEFA,Independent,64443,816,65259,48.15,Ladakh,Ladakh - 1,U091
863,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,25405,321,25726,52.29,Lakshadweep,Lakshadweep - 1,U061
864,BHARTI PARDHI,Bharatiya Janata Party,709939,2721,712660,51.56,Madhya Pradesh,BALAGHAT - 15,S1215
865,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,846696,1540,848236,60.76,Madhya Pradesh,BETUL - 29,S1229
866,SANDHYA RAY,Bharatiya Janata Party,533462,3603,537065,51.2,Madhya Pradesh,BHIND - 2,S122
867,ALOK SHARMA,Bharatiya Janata Party,978285,2824,981109,65.48,Madhya Pradesh,BHOPAL - 19,S1219
868,BUNTY VIVEK SAHU,Bharatiya Janata Party,643489,1249,644738,49.41,Madhya Pradesh,CHHINDWARA - 16,S1216
869,RAHUL SINGH LODHI,Bharatiya Janata Party,708589,1179,709768,65.18,Madhya Pradesh,DAMOH - 7,S127
870,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,925917,3024,928941,63.23,Madhya Pradesh,DEWAS - 21,S1221
871,SAVITRI THAKUR,Bharatiya Janata Party,792591,1858,794449,55.75,Madhya Pradesh,DHAR - 25,S1225
872,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,919744,3558,923302,67.21,Madhya Pradesh,GUNA - 4,S124
873,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,668782,2753,671535,49.99,Madhya Pradesh,GWALIOR - 3,S123
874,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,810529,1618,812147,64.99,Madhya Pradesh,HOSHANGABAD - 17,S1217
875,SHANKAR LALWANI,Bharatiya Janata Party,1223746,3005,1226751,78.54,Madhya Pradesh,INDORE - 26,S1226
876,ASHISH DUBEY,Bharatiya Janata Party,788721,1412,790133,68.2,Madhya Pradesh,JABALPUR - 13,S1213
877,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,771014,1760,772774,67.75,Madhya Pradesh,KHAJURAHO - 8,S128
878,GYANESHWAR PATIL,Bharatiya Janata Party,861188,1491,862679,57.04,Madhya Pradesh,KHANDWA - 28,S1228
879,GAJENDRA SINGH PATEL,Bharatiya Janata Party,818291,1572,819863,52.6,Madhya Pradesh,KHARGONE - 27,S1227
880,FAGGAN SINGH KULASTE,Bharatiya Janata Party,749761,1614,751375,48.93,Madhya Pradesh,MANDLA - 14,S1214
881,SUDHEER GUPTA,Bharatiya Janata Party,942249,3512,945761,65.98,Madhya Pradesh,MANDSOUR - 23,S1223
882,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,513136,2341,515477,43.41,Madhya Pradesh,MORENA - 1,S121
883,RODMAL NAGAR,Bharatiya Janata Party,756139,2604,758743,53.1,Madhya Pradesh,RAJGARH - 20,S1220
884,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,793432,2431,795863,51.93,Madhya Pradesh,RATLAM - 24,S1224
885,JANARDAN MISHRA,Bharatiya Janata Party,475439,2020,477459,52,Madhya Pradesh,REWA - 10,S1210
886,DR. LATA WANKHEDE,Bharatiya Janata Party,786160,1819,787979,68.49,Madhya Pradesh,SAGAR - 5,S125
887,GANESH SINGH,Bharatiya Janata Party,458373,1355,459728,43.41,Madhya Pradesh,SATNA - 9,S129
888,SMT. HIMADRI SINGH,Bharatiya Janata Party,709477,1666,711143,61.73,Madhya Pradesh,SHAHDOL - 12,S1212
889,DR. RAJESH MISHRA,Bharatiya Janata Party,582664,895,583559,50.87,Madhya Pradesh,SIDHI - 11,S1211
890,DR. VIRENDRA KUMAR,Bharatiya Janata Party,713781,1269,715050,65.1,Madhya Pradesh,TIKAMGARH - 6,S126
891,ANIL FIROJIYA,Bharatiya Janata Party,834374,1730,836104,62.93,Madhya Pradesh,UJJAIN - 22,S1222
892,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,1111556,4904,1116460,76.7,Madhya Pradesh,VIDISHA - 18,S1218
893,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,622144,2653,624797,47.14,Maharashtra,Ahmednagar - 37,S1337
894,ANUP SANJAY DHOTRE,Bharatiya Janata Party,454972,2058,457030,38.96,Maharashtra,Akola - 6,S136
895,BALWANT BASWANT WANKHADE,Indian National Congress,524136,2135,526271,44.84,Maharashtra,Amravati  - 7,S137
896,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,474434,1696,476130,36.56,Maharashtra,Aurangabad - 19,S1319
897,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,731400,912,732312,51.85,Maharashtra,Baramati - 35,S1335
898,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,682532,1418,683950,44.93,Maharashtra,Beed - 39,S1339
899,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,581678,5735,587413,47.56,Maharashtra,Bhandara Gondiya - 11,S1311
900,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,498199,1265,499464,39.85,Maharashtra,Bhiwandi - 23,S1323
901,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,348289,1578,349867,31.53,Maharashtra,Buldhana - 5,S135
